unique_id,race,race_imputed,imputation_probability,date,city,state,zip,county,agencies,highest_force,armed,weapon,aggressive,fleeing,intended_use_of_force,GEOID
17935,African-American/Black,African-American/Black,,2016-07-17,Baton Rouge,LA,70815,East Baton Rouge,Baton Rouge Police Department,Gunshot,Armed,Firearm/Rifle,Used weapon,Not fleeing,Deadly force,22033003701
17937,African-American/Black,African-American/Black,,2016-07-17,Brooklyn,NY,11211,Kings,City of New York Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,36047044901
17938,European-American/White,European-American/White,,2016-07-17,Tulsa,OK,74110,Tulsa,Tulsa Police Department,Gunshot,Armed,Edged weapon/Screwdriver,Used weapon,Fleeing/Foot,Deadly force,40143001400
17939,European-American/White,European-American/White,,2016-07-17,Sheboygan,WI,53081,Sheboygan,Sheboygan Police Department,Gunshot,Armed,Firearm/Rifle,Brandished weapon,Not fleeing,Deadly force,55117001000
17940,Race unspecified,European-American/White,0.988717291,2016-07-17,Port Vincent,LA,70726,Livingston,Louisiana State Police,Tasered,Armed,Edged weapon/Sword,Brandished weapon,Fleeing/Foot,Less-than-lethal force,22063040809
17930,European-American/White,European-American/White,,2016-07-16,San Bernardino,CA,92405,San Bernardino,San Bernardino Police Department,Gunshot,Armed,Firearm/Shotgun,Struggled,Fleeing/Foot,Deadly force,06071005300
17931,African-American/Black,African-American/Black,,2016-07-16,Green Cove Springs,FL,32043,Clay,Clay County Sheriff's Office,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,12019031202
17932,European-American/White,European-American/White,,2016-07-16,Little Egg Harbor Township,NJ,08087,Ocean,Little Egg Harbor Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Fleeing/Foot,Deadly force,34029736106
17927,European-American/White,European-American/White,,2016-07-15,Peachland,NC,28133,Anson,Anson County Sheriff's Office,Gunshot,Armed,Firearm/Rifle,Brandished weapon,Not fleeing,Deadly force,37007920302
17924,African-American/Black,African-American/Black,,2016-07-14,Baltimore,MD,21216,Baltimore City,Baltimore Police Department,Gunshot,Armed,Firearm/Rifle,Used weapon,Fleeing/Foot,Deadly force,24510160500
17926,African-American/Black,African-American/Black,,2016-07-14,Marion,IN,46953,Grant,Marion Police Department,Gunshot,Armed,Firearm/Gun,Used weapon,Fleeing/Foot,Deadly force,18053000700
17921,European-American/White,European-American/White,,2016-07-13,Flagstaff,AZ,86001,Coconino,Flagstaff Police Department,Gunshot,Armed,Firearm/Gun,Reached to waist,Fleeing/Foot,Deadly force,04005001201
17922,European-American/White,European-American/White,,2016-07-13,Middletown,NY,10940,Orange,Middletown Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,36071001500
17923,African-American/Black,African-American/Black,,2016-07-13,Oklahoma City,OK,73118,Oklahoma,Oklahoma City Police Department,Tasered,Armed,Edged weapon/Scissors,Brandished weapon,Not fleeing,Less-than-lethal force,40109100100
17916,European-American/White,European-American/White,,2016-07-12,Anchorage,AK,99508,Anchorage,Anchorage Police Department,Gunshot,Armed,Edged weapon/Hatchet,Advanced toward officer(s),Not fleeing,Deadly force,02020000901
17917,European-American/White,European-American/White,,2016-07-12,Birmingham,AL,35207,Jefferson,Birmingham Police Department,Tasered,Unarmed,None,Struggled,Not fleeing,Less-than-lethal force,01073005500
17918,European-American/White,European-American/White,,2016-07-12,Kaplan,LA,70548,Vermilion,Vermilion Parish Sheriff's Office,Asphyxiated/Restrained,Unarmed,None,Struggled,Not fleeing,Less-than-lethal force,22113950500
17910,African-American/Black,African-American/Black,,2016-07-11,Sacramento,CA,95815,Sacramento,Sacramento Police Department,Gunshot,Armed,Edged weapon/Knife,Brandished weapon,Fleeing/Foot,Deadly force,06067006901
17911,Hispanic/Latino,Hispanic/Latino,,2016-07-11,Romulus,MI,48174,Wayne,Romulus Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,26163585700
17912,European-American/White,European-American/White,,2016-07-11,St. Joseph,MI,49085,Berrien,Berrien County Sheriff's Office,Gunshot,Armed,Firearm/Gun,Brandished weapon,Not fleeing,Deadly force,26021000802
