unique_id,race,race_imputed,imputation_probability,date,city,state,zip,county,agencies,highest_force,armed,weapon,aggressive,fleeing,intended_use_of_force,GEOID
18124,Hispanic/Latino,Hispanic/Latino,,2016-08-27,Phoenix,AZ,85031,Maricopa,Phoenix Police Department,Gunshot,Armed,Firearm/Pellet gun,Brandished weapon,Not fleeing,Deadly force,04013112401
18125,Hispanic/Latino,Hispanic/Latino,,2016-08-27,Denver,CO,80223,Denver,Denver Police Department,Gunshot,Armed,Edged weapon/Knife,Brandished weapon,Fleeing/Foot,Deadly force,08031002102
18126,African-American/Black,African-American/Black,,2016-08-27,Trenton,NJ,08638,Mercer,Trenton Police Department,Gunshot,Unarmed,None,Struggled,Not fleeing,Deadly force,34021001401
18127,European-American/White,European-American/White,,2016-08-27,Morgantown,WV,26501,Monongalia,Monongalia County Sheriff's Office,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,54061011300
18119,European-American/White,European-American/White,,2016-08-26,Las Vegas,NV,89104,Clark,Nevada Highway Patrol,Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,32003001608
18114,Hispanic/Latino,Hispanic/Latino,,2016-08-25,Compton,CA,90221,Los Angeles,U.S. Federal Bureau of Investigation,Gunshot,Uncertain,Uncertain,Uncertain,Not fleeing,Deadly force,06037542105
18115,African-American/Black,African-American/Black,,2016-08-25,Compton,CA,90220,Los Angeles,Los Angeles County Sheriff's Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Fleeing/Foot,Deadly force,06037542700
18116,Race unspecified,European-American/White,0.577225591,2016-08-25,Fort Collins,CO,80524,Larimer,Fort Collins Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,08069001304
18110,European-American/White,European-American/White,,2016-08-24,Orlando,FL,32828,Orange,Orange County Sheriff's Office,Gunshot,Armed,Firearm/Shotgun,Brandished weapon,Not fleeing,Deadly force,12095016750
18111,European-American/White,European-American/White,,2016-08-24,Shelbyville,TN,37160,Bedford,Shelbyville Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,47003950500
18112,Hispanic/Latino,Hispanic/Latino,,2016-08-24,Dallas,TX,75211,Dallas,Dallas Police Department,Gunshot,Armed,Firearm/Gun,Brandished weapon,Fleeing/Foot,Deadly force,48113006800
