Quintile,Black,Hispanic/Latino,White
1,36.70252250737249,22.793837919501637,11.84230843695406
2,21.16859399599395,22.522566254098752,18.519945647436767
3,16.73065449983346,20.60219739547438,21.298025465685235
4,14.492708762434262,19.604002187863152,23.231977025313746
5,10.90552023436583,14.47739624306208,25.10774342461019
