GEOID	income_quintile	income_decile	income_percentile	income_200_quant	NH_WhiteP	NH_BlackP	Hisp_LatinoP	Majority	fatal_enc_binary	IncomeE_10k	IncomeE_10k_NH_WhiteP	IncomeE_10k_NH_BlackP	IncomeE_10k_NH_Latino
27003050220	5	9	87	173	0.84034055	0.036018338	0.067976423	White	0	10.5729	8.884836601	0.380818286	0.718707923
33011000104	5	9	88	175	0.91646194	0.0242629	0.035012286	White	0	10.8036	9.901088215	0.262126666	0.378258733
6059063903	5	10	91	181	0.39256096	0.00854486	0.39532545		0	11.6607	4.577535586	0.099639049	4.609771475
6019006700	3	6	51	101	0.2281255	0.02648589	0.65994006	Hispanic/Latino	0	6.2604	1.42815688	0.165812266	4.131488752
13121011634	4	8	78	155	0.49693915	0.18257111	0.095786817		0	8.8816002	4.413614854	1.621523607	0.850740213
45007011702	2	3	29	58	0.85086477	0.12503543	0.018712787	White	0	4.8806999	4.152815598	0.610260411	0.091331498
6087121100	4	8	76	152	0.69432449	6.16903e-4	0.21930906	White	0	8.6875	6.031944007	0.005359345	1.905247459
22063040602	2	3	28	56	0.92234468	0.040915165	0.020875083	White	0	4.8264	4.451604364	0.197472952	0.100751501
32003002983	4	7	69	137	0.2530964	0.21728595	0.18632202		0	7.8024002	1.974759402	1.69535194	1.453758966
4013061402	2	3	24	48	0.093042068	0.049838189	0.79174757	Hispanic/Latino	0	4.5596001	0.424234623	0.227242212	3.610052299
25027730200	4	7	61	122	0.71326041	0.076384142	0.12030075	White	0	7.0677002	5.041110742	0.539860216	0.850249635
40031000700	2	3	21	41	0.44972169	0.096846014	0.27940631		0	4.3154999	1.940773908	0.417938964	1.205777903
28135950400	1	1	1	2	0.2827681	0.71356553	0	Black	0	1.8941999	0.535619307	1.351635756	0
12115002012	3	6	55	110	0.95465392	0.004176611	0.030727923	White	0	6.5833	6.284773152	0.027495883	0.202291135
24005400800	4	8	76	151	0.47719687	0.38116425	0.021876158		0	8.6405998	4.123267179	3.293487742	0.189023126
37031970504	4	8	71	141	0.77344632	0.022033898	0.11412429	White	0	8.0196999	6.202807375	0.17670525	0.915242557
37027030500	3	6	56	112	0.83812165	0.016049137	0.06439469	White	0	6.6684998	5.589014055	0.107023667	0.429415977
26163507400	1	2	14	27	0.011709602	0.95690864	0.022482436	Black	0	3.7764999	0.044221311	3.613765383	0.084904917
47187050504	3	6	56	112	0.88347316	0.062570848	0.032872364	White	0	6.6858002	5.90672503	0.418336188	0.219778058
30011000300	1	2	20	39	0.96245211	0	0	White	0	4.2299999	4.071172329	0	0
6059011709	5	10	95	189	0.5139932	0.007963595	0.25529009	White	0	13.4145	6.894961781	0.106827645	3.424588912
6073017901	3	6	52	103	0.65239227	0.010044938	0.26619086	White	0	6.3377998	4.134731598	0.063662806	1.687064379
6073004000	1	2	16	32	0.039982427	0.04195958	0.87851495	Hispanic/Latino	0	4.016	0.160569427	0.168509673	3.528116039
6045011700	4	7	65	130	0.61734164	0.011941848	0.18483904	White	0	7.4682999	4.610492508	0.089185302	1.380433384
47187050307	3	6	56	112	0.77919048	0.04229372	0.040477425	White	0	6.6788002	5.204057534	0.282471306	0.270340634
49035113511	3	5	47	94	0.59654802	0.015911542	0.2518878	White	0	6.0375	3.601658671	0.096065935	1.520772593
5113950201	2	4	31	61	0.95570177	0	0.028508771	White	1	4.9957001	4.774399428	0	0.14242127
21145030600	1	1	3	6	0.71957672	0.1829574	0.03508772	White	0	2.4667999	1.775051781	0.451319296	0.086554384
12086019600	5	9	85	170	0.086459778	0.060985025	0.75281769	Hispanic/Latino	0	10.2647	0.887483683	0.625992986	7.727447743
45029970701	1	2	17	33	0.67486817	0.23989455	0.077914469	White	0	4.0474998	2.731528783	0.970973143	0.315358798
6085507705	5	10	100	200	0.33606556	0.003747073	0.041686181		0	25.000101	8.401672943	0.093677203	1.042158735
48113007835	2	3	22	43	0.30656934	0.42601195	0.24153948		0	4.4	1.348905096	1.87445258	1.062773712
26081011701	3	5	49	97	0.8979705	0.029151291	0.041328412	White	0	6.1341	5.508240844	0.178816934	0.253512612
36059415300	5	10	95	190	0.83349055	0.032704402	0.043238994	White	0	13.4761	11.232202	0.440727792	0.582693007
48201453405	1	1	8	16	0.056376245	0.19987941	0.31172746		0	3.2083	0.180871907	0.641273111	1.00011521
48213950904	1	2	19	38	0.65483284	0.019953355	0.19486913	White	0	4.2245998	2.766406685	0.08429494	0.823244088
36081005300	4	8	80	160	0.53959119	0.013693193	0.19349077	White	0	9.2898003	5.012694399	0.127207028	1.797490613
38105953702	5	9	88	175	0.78469437	0.07765121	0.10685063	White	0	10.7674	8.44911816	0.836101639	1.150503473
47157021746	2	4	31	61	0.051065825	0.86577654	0.083157651	Black	0	5.0007999	0.255369973	4.329575235	0.415854773
1011952500	3	5	48	95	0.41401023	0.43801653	0.12632822		0	6.0595001	2.50869503	2.654161207	0.765485862
8039961205	3	6	59	117	0.83294338	0	0.065044455	White	0	6.8873001	5.736731024	0	0.447980681
5119004007	2	3	27	54	0.32408816	0.59612465	0.039893616	Black	0	4.75	1.53941876	2.831592088	0.189494676
24009860501	5	10	97	193	0.7346434	0.070742361	0.057787482	White	0	14.651601	10.76370197	1.036488847	0.846679129
48171950302	4	7	67	133	0.81761789	0.002067825	0.1650124	White	0	7.6148003	6.225996954	0.015746074	1.256536473
42023960100	1	1	9	17	0.89371258	0.001996008	0.011976048	White	0	3.2785999	2.930125975	0.006544112	0.03926467
22031950700	2	4	38	75	0.79632723	0.1648581	0.021702837	White	0	5.4167	4.313465707	0.89298687	0.117557757
22023970203	2	3	28	55	0.93688214	0	0.063117869	White	0	4.7969002	4.494130125	0	0.302770118
4013105502	1	2	16	32	0.30923077	0.26051283	0.25897437		0	4	1.23692308	1.04205132	1.03589748
6067000300	5	10	94	187	0.75550473	0.012868172	0.12639405	White	0	12.7292	9.616970809	0.163801535	1.608895141
48167724700	1	1	3	5	0.2587007	0.44605568	0.21983759		0	2.375	0.614414163	1.05938224	0.522114276
48201430500	5	10	97	194	0.66367376	0.00261878	0.10849233	White	0	15.3214	10.16841115	0.040123376	1.662254385
6059099307	4	8	78	155	0.75411862	0	0.1062603	White	0	8.8929001	6.706301551	0	0.944962232
39099813900	1	1	4	8	0.089230768	0.79569232	0.064000003	Black	0	2.6346001	0.23508739	2.096331066	0.168614414
53061052004	5	10	97	193	0.66000599	0.050330527	0.039813701	White	0	14.6923	9.697006007	0.739471202	0.584954839
