Variable Name,Coefficient,Std. Err.,z,P>|z|,[95% Conf. Interval Lower],[95% Conf. Interval Upper]
Intercept,-1.636736,0.0319747,-51.19,0,-1.699406,-1.574067
Income ($1k),-0.013265,0.0004899,-27.08,0,-0.0142252,-0.0123049
